Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,26040
Sample Interval,52.08
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
2.0884e+04,-70.0531
2.0936e+04,-69.0312
2.0988e+04,-70.0531
2.1040e+04,-71.0719
2.1092e+04,-73.0625
2.1144e+04,-75.05
2.1197e+04,-72.0406
2.1249e+04,-69.0312
2.1301e+04,-67.9781
2.1353e+04,-66.9219
2.1405e+04,-66.4719
2.1457e+04,-66.0187
2.1509e+04,-69.0312
2.1561e+04,-72.0406
2.1613e+04,-69.4813
2.1665e+04,-66.9219
2.1717e+04,-70.9875
2.1769e+04,-75.05
2.1822e+04,-71.5563
2.1874e+04,-68.0594
2.1926e+04,-68.0594
2.1978e+04,-68.0594
2.2030e+04,-68.0594
2.2082e+04,-68.0594
2.2134e+04,-69.5656
2.2186e+04,-71.0719
2.2238e+04,-73.0625
2.2290e+04,-75.05
2.2342e+04,-73.0625
2.2394e+04,-71.0719
2.2446e+04,-71.0719
2.2499e+04,-71.0719
2.2551e+04,-71.0719
2.2603e+04,-71.0719
2.2655e+04,-71.5563
2.2707e+04,-72.0406
2.2759e+04,-69.4813
2.2811e+04,-66.9219
2.2863e+04,-69.4813
2.2915e+04,-72.0406
2.2967e+04,-71.5563
2.3019e+04,-71.0719
2.3071e+04,-68.0625
2.3124e+04,-65.05
2.3176e+04,-71.5563
2.3228e+04,-78.0594
2.3280e+04,-73.0594
2.3332e+04,-68.0594
2.3384e+04,-68.0594
2.3436e+04,-68.0594
2.3488e+04,-69.5656
2.3540e+04,-71.0719
2.3592e+04,-70.0531
2.3644e+04,-69.0312
2.3696e+04,-70.0531
2.3748e+04,-71.0719
2.3801e+04,-71.0719
2.3853e+04,-71.0719
2.3905e+04,-73.0625
2.3957e+04,-75.05
2.4009e+04,-75.05
2.4061e+04,-75.05
2.4113e+04,-70.2812
2.4165e+04,-65.5094
2.4217e+04,-67.2719
2.4269e+04,-69.0312
2.4321e+04,-70.5375
2.4373e+04,-72.0406
2.4426e+04,-71.5563
2.4478e+04,-71.0719
2.4530e+04,-70.0531
2.4582e+04,-69.0312
2.4634e+04,-72.0406
2.4686e+04,-75.05
2.4738e+04,-70.9875
2.4790e+04,-66.9219
2.4842e+04,-68.9969
2.4894e+04,-71.0719
2.4946e+04,-73.0625
2.4998e+04,-75.05
2.5050e+04,-70.9875
2.5103e+04,-66.9219
2.5155e+04,-68.9969
2.5207e+04,-71.0719
2.5259e+04,-71.5563
2.5311e+04,-72.0406
2.5363e+04,-70.5375
2.5415e+04,-69.0312
2.5467e+04,-73.5469
2.5519e+04,-78.0594
2.5571e+04,-71.0719
2.5623e+04,-64.0812
2.5675e+04,-69.5656
2.5728e+04,-75.05
2.5780e+04,-73.0625
2.5832e+04,-71.0719
2.5884e+04,-70.0531
2.5936e+04,-69.0312
2.5988e+04,-70.5375
2.6040e+04,-72.0406
2.6092e+04,-71.5563
2.6144e+04,-71.0719
2.6196e+04,-69.5656
2.6248e+04,-68.0594
2.6300e+04,-69.5656
2.6352e+04,-71.0719
2.6405e+04,-68.5469
2.6457e+04,-66.0187
2.6509e+04,-67.0406
2.6561e+04,-68.0594
2.6613e+04,-73.0594
2.6665e+04,-78.0594
2.6717e+04,-72.4906
2.6769e+04,-66.9219
2.6821e+04,-72.4906
2.6873e+04,-78.0594
2.6925e+04,-72.4906
2.6977e+04,-66.9219
2.7030e+04,-69.4813
2.7082e+04,-72.0406
2.7134e+04,-71.5563
2.7186e+04,-71.0719
2.7238e+04,-70.0531
2.7290e+04,-69.0312
2.7342e+04,-69.0312
2.7394e+04,-69.0312
2.7446e+04,-68.5469
2.7498e+04,-68.0594
2.7550e+04,-69.5656
2.7602e+04,-71.0719
2.7654e+04,-71.0719
2.7707e+04,-71.0719
2.7759e+04,-70.0531
2.7811e+04,-69.0312
2.7863e+04,-70.0531
2.7915e+04,-71.0719
2.7967e+04,-71.0719
2.8019e+04,-71.0719
2.8071e+04,-70.0531
2.8123e+04,-69.0312
2.8175e+04,-67.9781
2.8227e+04,-66.9219
2.8279e+04,-68.9969
2.8332e+04,-71.0719
2.8384e+04,-73.0625
2.8436e+04,-75.05
2.8488e+04,-73.0625
2.8540e+04,-71.0719
2.8592e+04,-73.0625
2.8644e+04,-75.05
2.8696e+04,-70.9875
2.8748e+04,-66.9219
2.8800e+04,-69.4813
2.8852e+04,-72.0406
2.8904e+04,-69.4813
2.8956e+04,-66.9219
2.9009e+04,-70.9875
2.9061e+04,-75.05
2.9113e+04,-70.9875
2.9165e+04,-66.9219
2.9217e+04,-68.9969
2.9269e+04,-71.0719
2.9321e+04,-71.0719
2.9373e+04,-71.0719
2.9425e+04,-71.0719
2.9477e+04,-71.0719
2.9529e+04,-71.0719
2.9581e+04,-71.0719
2.9634e+04,-68.9969
2.9686e+04,-66.9219
2.9738e+04,-72.4906
2.9790e+04,-78.0594
2.9842e+04,-72.4906
2.9894e+04,-66.9219
2.9946e+04,-68.9969
2.9998e+04,-71.0719
3.0050e+04,-71.0719
3.0102e+04,-71.0719
3.0154e+04,-68.9969
3.0206e+04,-66.9219
3.0258e+04,-68.9969
3.0311e+04,-71.0719
3.0363e+04,-74.5656
3.0415e+04,-78.0594
3.0467e+04,-72.4906
3.0519e+04,-66.9219
3.0571e+04,-69.4813
3.0623e+04,-72.0406
3.0675e+04,-71.5563
3.0727e+04,-71.0719
3.0779e+04,-70.0531
3.0831e+04,-69.0312
3.0883e+04,-70.5375
3.0936e+04,-72.0406
3.0988e+04,-73.5469
3.1040e+04,-75.05
3.1092e+04,-75.05
3.1144e+04,-75.05
3.1196e+04,-72.0406
3.1248e+04,-69.0312
3.1300e+04,-70.5375
3.1352e+04,-72.0406
3.1404e+04,-70.5375
3.1456e+04,-69.0312
3.1508e+04,-73.5469
3.1560e+04,-78.0594
3.1613e+04,-73.0594
3.1665e+04,-68.0594
3.1717e+04,-70.05
3.1769e+04,-72.0406
3.1821e+04,-70.5375
3.1873e+04,-69.0312
3.1925e+04,-70.0531
3.1977e+04,-71.0719
3.2029e+04,-74.5656
3.2081e+04,-78.0594
3.2133e+04,-73.0594
3.2185e+04,-68.0594
3.2238e+04,-67.4906
3.2290e+04,-66.9219
3.2342e+04,-67.9781
3.2394e+04,-69.0312
3.2446e+04,-73.5469
3.2498e+04,-78.0594
3.2550e+04,-71.7844
3.2602e+04,-65.5094
3.2654e+04,-68.2906
3.2706e+04,-71.0719
3.2758e+04,-70.0531
3.2810e+04,-69.0312
3.2862e+04,-70.0531
3.2915e+04,-71.0719
3.2967e+04,-68.0625
3.3019e+04,-65.05
3.3071e+04,-71.5563
3.3123e+04,-78.0594
3.3175e+04,-73.5469
3.3227e+04,-69.0312
3.3279e+04,-67.9781
3.3331e+04,-66.9219
3.3383e+04,-70.9875
3.3435e+04,-75.05
3.3487e+04,-72.0406
3.3540e+04,-69.0312
3.3592e+04,-73.5469
3.3644e+04,-78.0594
3.3696e+04,-74.5656
3.3748e+04,-71.0719
3.3800e+04,-70.0531
3.3852e+04,-69.0312
3.3904e+04,-70.0531
3.3956e+04,-71.0719
3.4008e+04,-71.0719
3.4060e+04,-71.0719
3.4112e+04,-74.5656
3.4164e+04,-78.0594
3.4217e+04,-73.0594
3.4269e+04,-68.0594
3.4321e+04,-67.4906
3.4373e+04,-66.9219
3.4425e+04,-68.9969
3.4477e+04,-71.0719
3.4529e+04,-71.0719
3.4581e+04,-71.0719
3.4633e+04,-71.0719
3.4685e+04,-71.0719
3.4737e+04,-71.0719
3.4789e+04,-71.0719
3.4842e+04,-71.0719
3.4894e+04,-71.0719
3.4946e+04,-68.9969
3.4998e+04,-66.9219
3.5050e+04,-72.4906
3.5102e+04,-78.0594
3.5154e+04,-73.5469
3.5206e+04,-69.0312
3.5258e+04,-73.5469
3.5310e+04,-78.0594
3.5362e+04,-73.5469
3.5414e+04,-69.0312
3.5466e+04,-70.5375
3.5519e+04,-72.0406
3.5571e+04,-73.5469
3.5623e+04,-75.05
3.5675e+04,-72.0406
3.5727e+04,-69.0312
3.5779e+04,-73.5469
3.5831e+04,-78.0594
3.5883e+04,-78.0594
3.5935e+04,-78.0594
3.5987e+04,-73.5469
3.6039e+04,-69.0312
3.6091e+04,-70.5375
3.6144e+04,-72.0406
3.6196e+04,-75.05
3.6248e+04,-78.0594
3.6300e+04,-72.4906
3.6352e+04,-66.9219
3.6404e+04,-72.4906
3.6456e+04,-78.0594
3.6508e+04,-74.5656
3.6560e+04,-71.0719
3.6612e+04,-69.5656
3.6664e+04,-68.0594
3.6716e+04,-70.05
3.6768e+04,-72.0406
3.6821e+04,-71.5563
3.6873e+04,-71.0719
3.6925e+04,-71.0719
3.6977e+04,-71.0719
3.7029e+04,-73.0625
3.7081e+04,-75.05
3.7133e+04,-75.05
3.7185e+04,-75.05
3.7237e+04,-70.9875
3.7289e+04,-66.9219
3.7341e+04,-68.9969
3.7393e+04,-71.0719
3.7446e+04,-71.0719
3.7498e+04,-71.0719
3.7550e+04,-74.5656
3.7602e+04,-78.0594
3.7654e+04,-72.4906
3.7706e+04,-66.9219
3.7758e+04,-67.4906
3.7810e+04,-68.0594
3.7862e+04,-73.0594
3.7914e+04,-78.0594
3.7966e+04,-73.5469
3.8018e+04,-69.0312
3.8070e+04,-72.0406
3.8123e+04,-75.05
3.8175e+04,-71.5563
3.8227e+04,-68.0594
3.8279e+04,-73.0594
3.8331e+04,-78.0594
3.8383e+04,-74.5656
3.8435e+04,-71.0719
3.8487e+04,-71.5563
3.8539e+04,-72.0406
3.8591e+04,-70.5375
3.8643e+04,-69.0312
3.8695e+04,-68.5469
3.8748e+04,-68.0594
3.8800e+04,-68.5469
3.8852e+04,-69.0312
3.8904e+04,-70.0531
3.8956e+04,-71.0719
3.9008e+04,-74.5656
3.9060e+04,-78.0594
3.9112e+04,-72.4906
3.9164e+04,-66.9219
3.9216e+04,-72.4906
3.9268e+04,-78.0594
3.9320e+04,-73.5469
3.9372e+04,-69.0312
3.9425e+04,-73.5469
3.9477e+04,-78.0594
3.9529e+04,-74.5656
3.9581e+04,-71.0719
3.9633e+04,-74.5656
3.9685e+04,-78.0594
3.9737e+04,-72.4906
3.9789e+04,-66.9219
3.9841e+04,-69.4813
3.9893e+04,-72.0406
3.9945e+04,-71.5563
3.9997e+04,-71.0719
4.0050e+04,-71.5563
4.0102e+04,-72.0406
4.0154e+04,-71.5563
4.0206e+04,-71.0719
4.0258e+04,-69.5656
4.0310e+04,-68.0594
4.0362e+04,-70.05
4.0414e+04,-72.0406
4.0466e+04,-70.5375
4.0518e+04,-69.0312
4.0570e+04,-73.5469
4.0622e+04,-78.0594
4.0674e+04,-74.5656
4.0727e+04,-71.0719
4.0779e+04,-71.0719
4.0831e+04,-71.0719
4.0883e+04,-68.9969
4.0935e+04,-66.9219
4.0987e+04,-72.4906
4.1039e+04,-78.0594
4.1091e+04,-74.5656
4.1143e+04,-71.0719
4.1195e+04,-68.9969
4.1247e+04,-66.9219
4.1299e+04,-72.4906
4.1352e+04,-78.0594
4.1404e+04,-73.0594
4.1456e+04,-68.0594
4.1508e+04,-73.0594
4.1560e+04,-78.0594
4.1612e+04,-72.4906
4.1664e+04,-66.9219
4.1716e+04,-68.9969
4.1768e+04,-71.0719
4.1820e+04,-71.0719
4.1872e+04,-71.0719
4.1924e+04,-73.0625
4.1976e+04,-75.05
4.2029e+04,-70.9875
4.2081e+04,-66.9219
4.2133e+04,-70.9875
4.2185e+04,-75.05
4.2237e+04,-73.0625
4.2289e+04,-71.0719
4.2341e+04,-68.0625
4.2393e+04,-65.05
4.2445e+04,-70.05
4.2497e+04,-75.05
4.2549e+04,-75.05
4.2601e+04,-75.05
4.2654e+04,-73.5469
4.2706e+04,-72.0406
4.2758e+04,-70.05
4.2810e+04,-68.0594
4.2862e+04,-70.05
4.2914e+04,-72.0406
4.2966e+04,-73.5469
4.3018e+04,-75.05
4.3070e+04,-72.0406
4.3122e+04,-69.0312
4.3174e+04,-72.0406
4.3226e+04,-75.05
4.3278e+04,-73.0625
4.3331e+04,-71.0719
4.3383e+04,-71.5563
4.3435e+04,-72.0406
4.3487e+04,-72.0406
4.3539e+04,-72.0406
4.3591e+04,-73.5469
4.3643e+04,-75.05
4.3695e+04,-71.5563
4.3747e+04,-68.0594
4.3799e+04,-73.0594
4.3851e+04,-78.0594
4.3903e+04,-74.5656
4.3956e+04,-71.0719
4.4008e+04,-74.5656
4.4060e+04,-78.0594
4.4112e+04,-74.5656
4.4164e+04,-71.0719
4.4216e+04,-71.5563
4.4268e+04,-72.0406
4.4320e+04,-71.5563
4.4372e+04,-71.0719
4.4424e+04,-73.0625
4.4476e+04,-75.05
4.4528e+04,-71.5563
4.4580e+04,-68.0594
4.4633e+04,-71.5563
4.4685e+04,-75.05
4.4737e+04,-75.05
4.4789e+04,-75.05
4.4841e+04,-75.05
4.4893e+04,-75.05
4.4945e+04,-70.9875
4.4997e+04,-66.9219
4.5049e+04,-72.4906
4.5101e+04,-78.0594
4.5153e+04,-73.5469
4.5205e+04,-69.0312
4.5258e+04,-73.5469
4.5310e+04,-78.0594
4.5362e+04,-76.5563
4.5414e+04,-75.05
4.5466e+04,-73.0625
4.5518e+04,-71.0719
4.5570e+04,-74.5656
