Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,260.4
Sample Interval,0.5208
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
1.5676e+02,-72.0406
1.5728e+02,-75.05
1.5780e+02,-70.9875
1.5832e+02,-66.9219
1.5884e+02,-67.4906
1.5936e+02,-68.0594
1.5989e+02,-69.5656
1.6041e+02,-71.0719
1.6093e+02,-71.0719
1.6145e+02,-71.0719
1.6197e+02,-68.0625
1.6249e+02,-65.05
1.6301e+02,-70.05
1.6353e+02,-75.05
1.6405e+02,-70.2812
1.6457e+02,-65.5094
1.6509e+02,-70.2812
1.6561e+02,-75.05
1.6614e+02,-69.5656
1.6666e+02,-64.0812
1.6718e+02,-71.0719
1.6770e+02,-78.0594
1.6822e+02,-73.5469
1.6874e+02,-69.0312
1.6926e+02,-67.9781
1.6978e+02,-66.9219
1.7030e+02,-68.9969
1.7082e+02,-71.0719
1.7134e+02,-71.0719
1.7186e+02,-71.0719
1.7238e+02,-71.0719
1.7291e+02,-71.0719
1.7343e+02,-71.0719
1.7395e+02,-71.0719
1.7447e+02,-69.5656
1.7499e+02,-68.0594
1.7551e+02,-68.0594
1.7603e+02,-68.0594
1.7655e+02,-68.2906
1.7707e+02,-68.5187
1.7759e+02,-69.7969
1.7811e+02,-71.0719
1.7863e+02,-70.0531
1.7916e+02,-69.0312
1.7968e+02,-70.0531
1.8020e+02,-71.0719
1.8072e+02,-68.9969
1.8124e+02,-66.9219
1.8176e+02,-68.9969
1.8228e+02,-71.0719
1.8280e+02,-68.2906
1.8332e+02,-65.5094
1.8384e+02,-71.7844
1.8436e+02,-78.0594
1.8488e+02,-72.4906
1.8540e+02,-66.9219
1.8593e+02,-69.4813
1.8645e+02,-72.0406
1.8697e+02,-68.5469
1.8749e+02,-65.05
1.8801e+02,-68.0625
1.8853e+02,-71.0719
1.8905e+02,-70.0531
1.8957e+02,-69.0312
1.9009e+02,-72.0406
1.9061e+02,-75.05
1.9113e+02,-71.5563
1.9165e+02,-68.0594
1.9218e+02,-69.5656
1.9270e+02,-71.0719
1.9322e+02,-70.0531
1.9374e+02,-69.0312
1.9426e+02,-69.0312
1.9478e+02,-69.0312
1.9530e+02,-70.0531
1.9582e+02,-71.0719
1.9634e+02,-69.5656
1.9686e+02,-68.0594
1.9738e+02,-68.0594
1.9790e+02,-68.0594
1.9842e+02,-69.5656
1.9895e+02,-71.0719
1.9947e+02,-70.0531
1.9999e+02,-69.0312
2.0051e+02,-70.0531
2.0103e+02,-71.0719
2.0155e+02,-69.5656
2.0207e+02,-68.0594
2.0259e+02,-68.5469
2.0311e+02,-69.0312
2.0363e+02,-68.5469
2.0415e+02,-68.0594
2.0467e+02,-67.4906
2.0520e+02,-66.9219
2.0572e+02,-67.9781
2.0624e+02,-69.0312
2.0676e+02,-70.5375
2.0728e+02,-72.0406
2.0780e+02,-71.5563
2.0832e+02,-71.0719
2.0884e+02,-69.5656
2.0936e+02,-68.0594
2.0988e+02,-70.05
2.1040e+02,-72.0406
2.1092e+02,-70.05
2.1144e+02,-68.0594
2.1197e+02,-68.5469
2.1249e+02,-69.0312
2.1301e+02,-72.0406
2.1353e+02,-75.05
2.1405e+02,-73.0625
2.1457e+02,-71.0719
2.1509e+02,-71.0719
2.1561e+02,-71.0719
2.1613e+02,-68.9969
2.1665e+02,-66.9219
2.1717e+02,-68.9969
2.1769e+02,-71.0719
2.1822e+02,-70.0531
2.1874e+02,-69.0312
2.1926e+02,-70.0531
2.1978e+02,-71.0719
2.2030e+02,-71.0719
2.2082e+02,-71.0719
2.2134e+02,-70.0531
2.2186e+02,-69.0312
2.2238e+02,-68.5469
2.2290e+02,-68.0594
2.2342e+02,-71.5563
2.2394e+02,-75.05
2.2446e+02,-71.5563
2.2499e+02,-68.0594
2.2551e+02,-69.5656
2.2603e+02,-71.0719
2.2655e+02,-71.0719
2.2707e+02,-71.0719
2.2759e+02,-69.5656
2.2811e+02,-68.0594
2.2863e+02,-73.0594
2.2915e+02,-78.0594
2.2967e+02,-72.4906
2.3019e+02,-66.9219
2.3071e+02,-68.9969
2.3124e+02,-71.0719
2.3176e+02,-71.0719
2.3228e+02,-71.0719
2.3280e+02,-71.0719
2.3332e+02,-71.0719
2.3384e+02,-71.0719
2.3436e+02,-71.0719
2.3488e+02,-70.0531
2.3540e+02,-69.0312
2.3592e+02,-67.9781
2.3644e+02,-66.9219
2.3696e+02,-69.4813
2.3748e+02,-72.0406
2.3801e+02,-70.05
2.3853e+02,-68.0594
2.3905e+02,-71.5563
2.3957e+02,-75.05
2.4009e+02,-73.0625
2.4061e+02,-71.0719
2.4113e+02,-71.0719
2.4165e+02,-71.0719
2.4217e+02,-74.5656
2.4269e+02,-78.0594
2.4321e+02,-73.0594
2.4373e+02,-68.0594
2.4426e+02,-69.5656
2.4478e+02,-71.0719
2.4530e+02,-69.5656
2.4582e+02,-68.0594
2.4634e+02,-69.5656
2.4686e+02,-71.0719
2.4738e+02,-73.0625
2.4790e+02,-75.05
2.4842e+02,-71.5563
2.4894e+02,-68.0594
2.4946e+02,-69.5656
2.4998e+02,-71.0719
2.5050e+02,-71.0719
2.5103e+02,-71.0719
2.5155e+02,-71.0719
2.5207e+02,-71.0719
2.5259e+02,-73.0625
2.5311e+02,-75.05
2.5363e+02,-70.9875
2.5415e+02,-66.9219
2.5467e+02,-70.9875
2.5519e+02,-75.05
2.5571e+02,-72.0406
2.5623e+02,-69.0312
2.5675e+02,-69.0312
2.5728e+02,-69.0312
2.5780e+02,-70.0531
2.5832e+02,-71.0719
2.5884e+02,-73.0625
2.5936e+02,-75.05
2.5988e+02,-73.0625
2.6040e+02,-71.0719
2.6092e+02,-71.0719
2.6144e+02,-71.0719
2.6196e+02,-70.0531
2.6248e+02,-69.0312
2.6300e+02,-70.0531
2.6352e+02,-71.0719
2.6405e+02,-70.0531
2.6457e+02,-69.0312
2.6509e+02,-69.0312
2.6561e+02,-69.0312
2.6613e+02,-70.0531
2.6665e+02,-71.0719
2.6717e+02,-71.0719
2.6769e+02,-71.0719
2.6821e+02,-74.5656
2.6873e+02,-78.0594
2.6925e+02,-72.4906
2.6977e+02,-66.9219
2.7030e+02,-68.9969
2.7082e+02,-71.0719
2.7134e+02,-68.9969
2.7186e+02,-66.9219
2.7238e+02,-68.9969
2.7290e+02,-71.0719
2.7342e+02,-70.0531
2.7394e+02,-69.0312
2.7446e+02,-67.9781
2.7498e+02,-66.9219
2.7550e+02,-68.9969
2.7602e+02,-71.0719
2.7654e+02,-73.0625
2.7707e+02,-75.05
2.7759e+02,-71.5563
2.7811e+02,-68.0594
2.7863e+02,-68.0594
2.7915e+02,-68.0594
2.7967e+02,-70.05
2.8019e+02,-72.0406
2.8071e+02,-71.5563
2.8123e+02,-71.0719
2.8175e+02,-68.9969
2.8227e+02,-66.9219
2.8279e+02,-66.3406
2.8332e+02,-65.7562
2.8384e+02,-66.9094
2.8436e+02,-68.0594
2.8488e+02,-69.5656
2.8540e+02,-71.0719
2.8592e+02,-68.2906
2.8644e+02,-65.5094
2.8696e+02,-70.2812
2.8748e+02,-75.05
2.8800e+02,-72.0406
2.8852e+02,-69.0312
2.8904e+02,-70.0531
2.8956e+02,-71.0719
2.9009e+02,-71.0719
2.9061e+02,-71.0719
2.9113e+02,-70.0531
2.9165e+02,-69.0312
2.9217e+02,-72.0406
2.9269e+02,-75.05
2.9321e+02,-73.0625
2.9373e+02,-71.0719
2.9425e+02,-71.0719
2.9477e+02,-71.0719
2.9529e+02,-74.5656
2.9581e+02,-78.0594
2.9634e+02,-71.0719
2.9686e+02,-64.0812
2.9738e+02,-71.0719
2.9790e+02,-78.0594
2.9842e+02,-74.5656
2.9894e+02,-71.0719
2.9946e+02,-73.0625
2.9998e+02,-75.05
3.0050e+02,-73.0625
3.0102e+02,-71.0719
3.0154e+02,-68.4156
3.0206e+02,-65.7562
3.0258e+02,-68.4156
3.0311e+02,-71.0719
3.0363e+02,-71.0719
3.0415e+02,-71.0719
3.0467e+02,-71.0719
3.0519e+02,-71.0719
3.0571e+02,-69.5656
3.0623e+02,-68.0594
3.0675e+02,-70.05
3.0727e+02,-72.0406
3.0779e+02,-70.5375
3.0831e+02,-69.0312
3.0883e+02,-69.0312
3.0936e+02,-69.0312
3.0988e+02,-72.0406
3.1040e+02,-75.05
3.1092e+02,-72.0406
3.1144e+02,-69.0312
3.1196e+02,-73.5469
3.1248e+02,-78.0594
3.1300e+02,-71.7844
3.1352e+02,-65.5094
3.1404e+02,-68.775
3.1456e+02,-72.0406
3.1508e+02,-70.2812
3.1560e+02,-68.5187
3.1613e+02,-69.7969
3.1665e+02,-71.0719
3.1717e+02,-71.0719
3.1769e+02,-71.0719
3.1821e+02,-70.0531
3.1873e+02,-69.0312
3.1925e+02,-70.0531
3.1977e+02,-71.0719
3.2029e+02,-73.0625
3.2081e+02,-75.05
3.2133e+02,-70.2812
3.2185e+02,-65.5094
3.2238e+02,-67.0156
3.2290e+02,-68.5187
3.2342e+02,-68.2906
3.2394e+02,-68.0594
3.2446e+02,-69.5656
