Model,DPO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,260400
Sample Interval,520.8
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
2.9165e+05,-71.0719
2.9217e+05,-69.5656
2.9269e+05,-68.0594
2.9321e+05,-69.5656
2.9373e+05,-71.0719
2.9425e+05,-73.0625
2.9477e+05,-75.05
2.9529e+05,-72.0406
2.9581e+05,-69.0312
2.9634e+05,-70.0531
2.9686e+05,-71.0719
2.9738e+05,-71.0719
2.9790e+05,-71.0719
2.9842e+05,-73.0625
2.9894e+05,-75.05
2.9946e+05,-73.0625
2.9998e+05,-71.0719
3.0050e+05,-71.0719
3.0102e+05,-71.0719
3.0154e+05,-71.0719
3.0206e+05,-71.0719
3.0258e+05,-68.9969
3.0311e+05,-66.9219
3.0363e+05,-70.9875
3.0415e+05,-75.05
3.0467e+05,-72.0406
3.0519e+05,-69.0312
3.0571e+05,-72.0406
3.0623e+05,-75.05
3.0675e+05,-72.0406
3.0727e+05,-69.0312
3.0779e+05,-73.5469
3.0831e+05,-78.0594
3.0883e+05,-74.5656
3.0936e+05,-71.0719
3.0988e+05,-71.0719
3.1040e+05,-71.0719
3.1092e+05,-68.9969
3.1144e+05,-66.9219
3.1196e+05,-68.9969
3.1248e+05,-71.0719
3.1300e+05,-74.5656
3.1352e+05,-78.0594
3.1404e+05,-72.4906
3.1456e+05,-66.9219
3.1508e+05,-72.4906
3.1560e+05,-78.0594
3.1613e+05,-72.4906
3.1665e+05,-66.9219
3.1717e+05,-72.4906
3.1769e+05,-78.0594
3.1821e+05,-73.5469
3.1873e+05,-69.0312
3.1925e+05,-69.0312
3.1977e+05,-69.0312
3.2029e+05,-72.0406
3.2081e+05,-75.05
3.2133e+05,-72.0406
3.2185e+05,-69.0312
3.2238e+05,-70.5375
3.2290e+05,-72.0406
3.2342e+05,-70.5375
3.2394e+05,-69.0312
3.2446e+05,-67.9781
3.2498e+05,-66.9219
3.2550e+05,-72.4906
3.2602e+05,-78.0594
3.2654e+05,-72.4906
3.2706e+05,-66.9219
3.2758e+05,-70.9875
3.2810e+05,-75.05
3.2862e+05,-75.05
3.2915e+05,-75.05
3.2967e+05,-73.0625
3.3019e+05,-71.0719
3.3071e+05,-73.0625
3.3123e+05,-75.05
3.3175e+05,-76.5563
3.3227e+05,-78.0594
3.3279e+05,-74.5656
3.3331e+05,-71.0719
3.3383e+05,-71.5563
3.3435e+05,-72.0406
3.3487e+05,-70.5375
3.3540e+05,-69.0312
3.3592e+05,-73.5469
3.3644e+05,-78.0594
3.3696e+05,-72.4906
3.3748e+05,-66.9219
3.3800e+05,-69.4813
3.3852e+05,-72.0406
3.3904e+05,-71.5563
3.3956e+05,-71.0719
3.4008e+05,-73.0625
3.4060e+05,-75.05
3.4112e+05,-71.5563
3.4164e+05,-68.0594
3.4217e+05,-70.05
3.4269e+05,-72.0406
3.4321e+05,-72.0406
3.4373e+05,-72.0406
3.4425e+05,-73.5469
3.4477e+05,-75.05
3.4529e+05,-73.0625
3.4581e+05,-71.0719
3.4633e+05,-71.0719
3.4685e+05,-71.0719
3.4737e+05,-71.5563
3.4789e+05,-72.0406
3.4842e+05,-70.5375
3.4894e+05,-69.0312
3.4946e+05,-70.0531
3.4998e+05,-71.0719
3.5050e+05,-73.0625
3.5102e+05,-75.05
3.5154e+05,-73.0625
3.5206e+05,-71.0719
3.5258e+05,-73.0625
3.5310e+05,-75.05
3.5362e+05,-72.0406
3.5414e+05,-69.0312
3.5466e+05,-72.0406
3.5519e+05,-75.05
3.5571e+05,-76.5563
3.5623e+05,-78.0594
3.5675e+05,-73.0594
3.5727e+05,-68.0594
3.5779e+05,-73.0594
3.5831e+05,-78.0594
3.5883e+05,-74.5656
3.5935e+05,-71.0719
3.5987e+05,-73.0625
3.6039e+05,-75.05
3.6091e+05,-73.0625
3.6144e+05,-71.0719
3.6196e+05,-71.0719
3.6248e+05,-71.0719
3.6300e+05,-71.0719
3.6352e+05,-71.0719
3.6404e+05,-71.5563
3.6456e+05,-72.0406
3.6508e+05,-73.5469
3.6560e+05,-75.05
3.6612e+05,-73.0625
3.6664e+05,-71.0719
3.6716e+05,-71.5563
3.6768e+05,-72.0406
3.6821e+05,-75.05
3.6873e+05,-78.0594
3.6925e+05,-72.4906
3.6977e+05,-66.9219
3.7029e+05,-70.9875
3.7081e+05,-75.05
3.7133e+05,-76.5563
3.7185e+05,-78.0594
3.7237e+05,-73.5469
3.7289e+05,-69.0312
3.7341e+05,-70.0531
3.7393e+05,-71.0719
3.7446e+05,-71.5563
3.7498e+05,-72.0406
3.7550e+05,-73.5469
3.7602e+05,-75.05
3.7654e+05,-73.0625
3.7706e+05,-71.0719
3.7758e+05,-71.0719
3.7810e+05,-71.0719
3.7862e+05,-68.9969
3.7914e+05,-66.9219
3.7966e+05,-70.9875
3.8018e+05,-75.05
3.8070e+05,-73.0625
3.8123e+05,-71.0719
3.8175e+05,-71.0719
3.8227e+05,-71.0719
3.8279e+05,-71.5563
3.8331e+05,-72.0406
3.8383e+05,-72.0406
3.8435e+05,-72.0406
3.8487e+05,-73.5469
3.8539e+05,-75.05
3.8591e+05,-75.05
3.8643e+05,-75.05
3.8695e+05,-73.0625
3.8748e+05,-71.0719
3.8800e+05,-71.5563
3.8852e+05,-72.0406
3.8904e+05,-70.5375
3.8956e+05,-69.0312
3.9008e+05,-73.5469
3.9060e+05,-78.0594
3.9112e+05,-73.5469
3.9164e+05,-69.0312
3.9216e+05,-72.0406
3.9268e+05,-75.05
3.9320e+05,-75.05
3.9372e+05,-75.05
3.9425e+05,-75.05
3.9477e+05,-75.05
3.9529e+05,-72.0406
3.9581e+05,-69.0312
3.9633e+05,-72.0406
3.9685e+05,-75.05
3.9737e+05,-73.0625
3.9789e+05,-71.0719
3.9841e+05,-74.5656
3.9893e+05,-78.0594
3.9945e+05,-75.05
3.9997e+05,-72.0406
4.0050e+05,-71.5563
4.0102e+05,-71.0719
4.0154e+05,-73.0625
4.0206e+05,-75.05
4.0258e+05,-73.0625
4.0310e+05,-71.0719
4.0362e+05,-73.0625
4.0414e+05,-75.05
4.0466e+05,-75.05
4.0518e+05,-75.05
4.0570e+05,-73.0625
4.0622e+05,-71.0719
4.0674e+05,-71.0719
4.0727e+05,-71.0719
4.0779e+05,-74.5656
4.0831e+05,-78.0594
4.0883e+05,-74.5656
4.0935e+05,-71.0719
4.0987e+05,-71.0719
4.1039e+05,-71.0719
4.1091e+05,-73.0625
4.1143e+05,-75.05
4.1195e+05,-70.2812
4.1247e+05,-65.5094
4.1299e+05,-71.7844
4.1352e+05,-78.0594
4.1404e+05,-74.5656
4.1456e+05,-71.0719
4.1508e+05,-71.0719
4.1560e+05,-71.0719
4.1612e+05,-74.5656
4.1664e+05,-78.0594
4.1716e+05,-74.5656
4.1768e+05,-71.0719
4.1820e+05,-73.0625
4.1872e+05,-75.05
4.1924e+05,-73.0625
4.1976e+05,-71.0719
4.2029e+05,-71.0719
4.2081e+05,-71.0719
4.2133e+05,-70.0531
4.2185e+05,-69.0312
4.2237e+05,-72.0406
4.2289e+05,-75.05
4.2341e+05,-72.0406
4.2393e+05,-69.0312
4.2445e+05,-72.0406
4.2497e+05,-75.05
4.2549e+05,-75.05
4.2601e+05,-75.05
4.2654e+05,-72.0406
4.2706e+05,-69.0312
4.2758e+05,-72.0406
4.2810e+05,-75.05
4.2862e+05,-75.05
4.2914e+05,-75.05
4.2966e+05,-73.0625
4.3018e+05,-71.0719
4.3070e+05,-70.0531
4.3122e+05,-69.0312
4.3174e+05,-72.0406
4.3226e+05,-75.05
4.3278e+05,-75.05
4.3331e+05,-75.05
4.3383e+05,-73.0625
4.3435e+05,-71.0719
4.3487e+05,-74.5656
4.3539e+05,-78.0594
4.3591e+05,-74.5656
4.3643e+05,-71.0719
4.3695e+05,-73.0625
4.3747e+05,-75.05
4.3799e+05,-73.0625
4.3851e+05,-71.0719
4.3903e+05,-74.5656
4.3956e+05,-78.0594
4.4008e+05,-74.5656
4.4060e+05,-71.0719
4.4112e+05,-71.0719
4.4164e+05,-71.0719
4.4216e+05,-73.0625
4.4268e+05,-75.05
4.4320e+05,-76.5563
4.4372e+05,-78.0594
4.4424e+05,-73.5469
4.4476e+05,-69.0312
4.4528e+05,-72.0406
4.4580e+05,-75.05
4.4633e+05,-73.5469
4.4685e+05,-72.0406
4.4737e+05,-71.5563
4.4789e+05,-71.0719
4.4841e+05,-71.0719
4.4893e+05,-71.0719
4.4945e+05,-73.0625
4.4997e+05,-75.05
4.5049e+05,-73.0625
4.5101e+05,-71.0719
4.5153e+05,-71.0719
4.5205e+05,-71.0719
4.5258e+05,-71.5563
4.5310e+05,-72.0406
4.5362e+05,-71.5563
4.5414e+05,-71.0719
4.5466e+05,-71.5563
4.5518e+05,-72.0406
4.5570e+05,-73.5469
4.5622e+05,-75.05
4.5674e+05,-73.0625
4.5726e+05,-71.0719
4.5778e+05,-74.5656
4.5830e+05,-78.0594
4.5882e+05,-76.5563
4.5935e+05,-75.05
4.5987e+05,-76.5563
4.6039e+05,-78.0594
4.6091e+05,-76.5563
4.6143e+05,-75.05
4.6195e+05,-71.5563
4.6247e+05,-68.0594
4.6299e+05,-69.5656
4.6351e+05,-71.0719
4.6403e+05,-73.0625
4.6455e+05,-75.05
4.6507e+05,-73.5469
4.6560e+05,-72.0406
4.6612e+05,-73.5469
4.6664e+05,-75.05
4.6716e+05,-73.0625
